pair_id,condition,task_id,domain,score_base,score_manipulated,delta,abs_delta,direction_is_positive,base_chars,manip_chars,delta_chars,base_tokens,manip_tokens,delta_tokens
pair_22_format,format,task_caldera_collapse,volcanology,0.5478064698219466,-0.0851021281785852,-0.6329085980005318,0.6329085980005318,False,147,186,39,21,25,4
pair_22_lexical,lexical,task_caldera_collapse,volcanology,0.5478064698219466,1.036571556662064,0.4887650868401173,0.4887650868401173,True,147,171,24,21,20,-1
pair_22_context,context,task_caldera_collapse,volcanology,0.5478064698219466,-0.39124444756621113,-0.9390509173881577,0.9390509173881577,False,147,271,124,21,39,18
pair_23_persona,persona,task_photovoltaic_physics,condensed_matter_physics,-0.23723101295234728,-0.5697248894881154,-0.3324938765357681,0.3324938765357681,False,237,220,-17,29,27,-2
pair_23_length,length,task_photovoltaic_physics,condensed_matter_physics,2.1421674671363733,0.49793330467352837,-1.644234162462845,1.644234162462845,False,56,329,273,11,40,29
pair_23_format,format,task_photovoltaic_physics,condensed_matter_physics,0.5893478574941964,-0.13948932415838497,-0.7288371816525814,0.7288371816525814,False,164,207,43,22,27,5
pair_23_lexical,lexical,task_photovoltaic_physics,condensed_matter_physics,0.5893478574941964,0.25091399383605806,-0.3384338636581383,0.3384338636581383,False,164,183,19,22,20,-2
pair_23_context,context,task_photovoltaic_physics,condensed_matter_physics,0.5893478574941964,-0.12090556545116724,-0.7102534229453636,0.7102534229453636,False,164,289,125,22,39,17
pair_24_persona,persona,task_action_potentials_neuro,neurophysiology,0.2218660854934058,-0.3947912824885993,-0.6166573679820051,0.6166573679820051,False,241,240,-1,29,28,-1
pair_24_length,length,task_action_potentials_neuro,neurophysiology,2.1590632027255783,0.36778267964008937,-1.791280523085489,1.791280523085489,False,61,319,258,11,37,26
pair_24_format,format,task_action_potentials_neuro,neurophysiology,1.2747201569129911,-0.4122783821972751,-1.6869985391102662,1.6869985391102662,False,166,212,46,22,27,5
pair_24_lexical,lexical,task_action_potentials_neuro,neurophysiology,1.2747201569129911,0.6462379325606924,-0.6284822243522987,0.6284822243522987,False,166,176,10,22,21,-1
pair_24_context,context,task_action_potentials_neuro,neurophysiology,1.2747201569129911,0.7903343170566205,-0.4843858398563706,0.4843858398563706,False,166,263,97,22,37,15
pair_25_persona,persona,task_chromatography_methods,analytical_chemistry,0.3291240542004779,-0.24480782837574896,-0.5739318825762268,0.5739318825762268,False,232,209,-23,28,28,0
pair_25_length,length,task_chromatography_methods,analytical_chemistry,1.8861321811507663,0.5514250137766379,-1.3347071673741284,1.3347071673741284,False,65,316,251,10,38,28
pair_25_format,format,task_chromatography_methods,analytical_chemistry,1.314677035874836,0.3767284547647565,-0.9379485811100796,0.9379485811100796,False,161,210,49,21,29,8
pair_25_lexical,lexical,task_chromatography_methods,analytical_chemistry,1.3146770358748359,0.9086533814235175,-0.4060236544513184,0.4060236544513184,False,161,166,5,21,19,-2
pair_25_context,context,task_chromatography_methods,analytical_chemistry,1.3144291846298093,0.5916445079361351,-0.7227846766936742,0.7227846766936742,False,161,289,128,21,35,14
pair_26_persona,persona,task_tidal_mechanics,geophysics,-0.656081491198905,-1.3899012970373978,-0.7338198058384928,0.7338198058384928,False,218,213,-5,32,33,1
pair_26_length,length,task_tidal_mechanics,geophysics,1.896205639435712,0.2594042747491705,-1.6368013646865416,1.6368013646865416,False,52,319,267,9,39,30
pair_26_format,format,task_tidal_mechanics,geophysics,0.4338407690521,-0.12865227304249618,-0.5624930420945962,0.5624930420945962,False,152,214,62,25,30,5
pair_26_lexical,lexical,task_tidal_mechanics,geophysics,0.4338407690521,0.8756766023123059,0.4418358332602059,0.4418358332602059,True,152,174,22,25,22,-3
pair_26_context,context,task_tidal_mechanics,geophysics,0.4338407690521,-0.2617257459146235,-0.6955665149667235,0.6955665149667235,False,152,274,122,25,41,16
pair_27_persona,persona,task_lepidoptera_metamorphosis,entomology,0.03995253883987953,-0.36677908919173846,-0.406731628031618,0.406731628031618,False,230,228,-2,27,27,0
pair_27_length,length,task_lepidoptera_metamorphosis,entomology,1.5764100610255989,0.6673571597212625,-0.9090529013043364,0.9090529013043364,False,62,316,254,9,40,31
pair_27_format,format,task_lepidoptera_metamorphosis,entomology,0.9095961007412136,-0.34038858568471037,-1.2499846864259239,1.2499846864259239,False,160,193,33,20,28,8
pair_27_lexical,lexical,task_lepidoptera_metamorphosis,entomology,0.9095961007412136,0.6233041292730791,-0.28629197146813445,0.28629197146813445,False,160,180,20,20,22,2
pair_27_context,context,task_lepidoptera_metamorphosis,entomology,0.9095961007412136,0.4431870510865284,-0.46640904965468516,0.46640904965468516,False,160,268,108,20,34,14
pair_28_persona,persona,task_brayton_cycle_propulsion,aerospace_engineering,0.19939049463532302,-0.4904162044067607,-0.6898066990420837,0.6898066990420837,False,221,209,-12,28,27,-1
pair_28_length,length,task_brayton_cycle_propulsion,aerospace_engineering,2.0606127251745603,1.0809466493091473,-0.979666075865413,0.979666075865413,False,56,316,260,11,38,27
pair_28_format,format,task_brayton_cycle_propulsion,aerospace_engineering,1.3160233486682842,0.12334919103680139,-1.1926741576314828,1.1926741576314828,False,149,202,53,21,28,7
pair_28_lexical,lexical,task_brayton_cycle_propulsion,aerospace_engineering,1.3160233486682842,0.411948713580826,-0.9040746350874582,0.9040746350874582,False,149,185,36,21,25,4
pair_28_context,context,task_brayton_cycle_propulsion,aerospace_engineering,1.3160233486682842,0.5846605223066994,-0.7313628263615848,0.7313628263615848,False,149,263,114,21,37,16
